	supersense_category	text
542	noun.location	vista
543	noun.cognition	school
544	noun.animal	man
547	noun.artifact	workmanship
550	noun.body	feeler
551	noun.animal	hind
552	noun.body	fore
553	noun.state	malignancy
554	noun.attribute	corpulence
555	noun.cognition	character
556	noun.body	seat
557	verb.stative	occupy
560	noun.body	forepaw
561	noun.person	croucher
562	verb.cognition	shew
563	noun.group	civilisation
564	noun.time	youth
565	noun.object	fleck
566	noun.body	striation
567	noun.cognition	geology
568	noun.object	mineralogy
570	noun.cognition	field
571	verb.cognition	form
573	verb.stative	belongto
574	noun.cognition	conception
576	noun.feeling	defeat
578	noun.communication	touch
581	noun.feeling	diffidence
582	noun.communication	trifle
583	noun.person	WilliamChanningWebb
585	noun.cognition	anthropology
586	noun.group	PrincetonUniversity
587	noun.person	explorer
588	noun.person	ProfessorWebb
589	noun.act	tour
590	noun.location	greenland
591	noun.location	iceland
592	noun.act	search
593	noun.communication	runicinscription
594	verb.perception	unearth
595	noun.location	WestGreenland
596	noun.object	coast
597	noun.person	Esquimaux
599	noun.attribute	bloodthirstiness
600	noun.attribute	repulsiveness
602	noun.feeling	shudder
603	noun.communication	aeon
605	noun.event	sacrifice
606	noun.act	ritual
607	noun.person	elder
609	noun.person	angekok
610	noun.person	wizard
611	noun.person	priest
612	verb.communication	express
614	noun.attribute	significance
616	verb.emotion	cherish
617	noun.animal	aurora
618	noun.object	cliff
620	noun.attribute	bas
622	verb.stative	comprise
624	noun.cognition	parallel
626	noun.feeling	suspense
627	noun.feeling	astonishment
629	verb.communication	ply
630	noun.person	informant
631	verb.cognition	copy
633	noun.person	worshipper
634	verb.contact	arrest
635	verb.communication	beseech
637	verb.change	take
638	noun.person	diabolistEsquimaux
639	noun.act	comparison
640	noun.person	detective
642	noun.communication	identity
644	noun.state	world
645	noun.person	Esquimau
647	noun.location	Louisiana
648	noun.person	swamp
651	noun.relation	division
652	noun.act	break
653	noun.communication	ph’nglui
654	noun.person	cthulhur’lyehwgah’naglfhtagn
655	noun.person	legrasse
657	noun.artifact	mongrel
658	noun.person	prisoner
659	noun.person	celebrant
660	noun.location	r’lyeh
662	verb.motion	wait
663	noun.communication	demand
665	noun.cognition	experience
666	noun.location	swamp
670	verb.stative	savour
671	noun.person	myth
673	verb.communication	disclose
674	noun.person	caste
675	noun.person	pariah
677	noun.communication	summon
679	noun.object	lagoon
680	noun.person	squatter
681	noun.group	descendant
682	noun.person	Lafitte
683	noun.person	tom-tom
684	noun.person	dweller
685	verb.social	venture
686	noun.communication	shout
687	noun.communication	scream
688	noun.communication	chant
689	noun.process	flame
690	noun.person	messenger
691	verb.cognition	stand
692	verb.consumption	fill
693	noun.artifact	carriage
694	verb.motion	setout
696	verb.motion	alight
697	verb.motion	splashon
698	noun.plant	cypresswoods
699	noun.artifact	hang
700	noun.plant	noose
701	noun.plant	spanish
702	noun.plant	moss
703	verb.contact	beset
705	noun.location	habitation
706	noun.animal	fungousislet
708	noun.group	huddle
709	noun.artifact	hut
710	verb.stative	hove
712	verb.motion	runout
713	verb.motion	cluster
714	noun.artifact	lantern
716	verb.motion	filter
717	noun.plant	undergrowth
718	noun.location	avenue
721	verb.motion	plungeon
722	noun.object	arcade
723	verb.motion	trod
724	verb.stative	enter
725	noun.attribute	repute
726	noun.communication	legend
727	noun.attribute	sight
728	verb.contact	dwelt
729	noun.Tops	thing
731	noun.person	devil
732	noun.artifact	cavern
733	verb.emotion	worship
734	noun.location	d’iberville
735	noun.location	LaSalle
736	noun.person	Indians
737	noun.animal	beast
738	verb.perception	dream
739	verb.social	keepaway
740	noun.act	orgy
741	noun.shape	fringe
743	noun.communication	sound
745	noun.event	noise
747	verb.motion	plough
748	noun.object	morass
749	noun.person	tom
750	noun.animal	tom
751	noun.cognition	quality
752	noun.attribute	quality
754	noun.state	licence
755	noun.attribute	height
756	noun.communication	howl
757	verb.communication	squawk
758	noun.plant	ecstasy
759	verb.motion	reverberate
760	noun.event	tempest
761	noun.communication	ululation
762	noun.communication	chorus
763	verb.change	rise
764	noun.communication	sing
767	noun.artifact	spectacle
768	noun.event	cacophony
770	verb.change	deaden
773	noun.location	glade
775	noun.quantity	acre
776	noun.attribute	extent
777	noun.state	abnormality
778	noun.person	Sime
779	noun.person	Angarola
780	verb.creation	paint
781	noun.animal	spawn
782	verb.communication	bray
783	verb.communication	bellow
784	verb.contact	writhe
785	noun.event	bonfire
786	noun.attribute	rift
787	noun.artifact	curtain
788	noun.substance	granite
789	noun.shape	monolith
790	noun.attribute	diminutiveness
792	noun.artifact	scaffold
793	noun.artifact	girtmonolith
795	noun.group	ring
797	noun.relation	direction
798	noun.location	ringoffire
799	noun.event	echo
801	noun.person	Spaniard
802	verb.emotion	fancy
804	noun.person	JosephD.Galvez
806	verb.perception	hint
807	noun.event	beat
808	noun.cognition	pause
809	noun.act	duty
810	noun.person	mongrel
812	verb.consumption	rely
813	noun.artifact	firearm
814	noun.act	rout
815	noun.event	blow
816	verb.competition	strike
817	noun.act	shot
818	noun.act	escape
821	noun.attribute	haste
823	verb.contact	liedead
824	verb.motion	carryaway
825	noun.artifact	stretcher
828	verb.motion	carryback
830	verb.cognition	examine
831	noun.artifact	headquarter
832	noun.state	strain
834	noun.person	seaman
835	noun.quantity	sprinkle
836	noun.animal	negro
837	noun.person	mulatto
838	noun.location	WestIndians
839	noun.person	Bravaportuguese
840	noun.location	CapeVerdeIslands
841	verb.creation	give
842	noun.event	colouring
843	noun.cognition	voodooism
844	noun.cognition	fetichism
845	noun.attribute	consistency
846	verb.social	worship
847	noun.time	age
848	noun.body	dead
849	noun.communication	secret
850	noun.communication	dream
851	verb.creation	form
853	noun.location	waste
854	noun.person	priestCthulhu
855	noun.artifact	darkhouse
857	noun.act	sway
858	verb.contact	liberate
859	verb.contact	extract
860	noun.person	mankind
861	noun.object	earth
862	verb.motion	comeout
863	noun.person	GreatOldOnes
864	noun.person	idol
868	noun.location	r’lyehdeadCthulhu
869	verb.emotion	wait
871	verb.contact	hang
872	noun.act	institution
873	noun.event	murder
874	verb.communication	aver
875	noun.act	kill
876	noun.person	BlackWinged
879	noun.person	mestizo
880	noun.person	Castro
881	noun.person	leader
882	noun.person	OldCastro
883	verb.emotion	remember
884	noun.quantity	bit
885	verb.change	pale
886	noun.cognition	speculation
889	noun.person	aeon
890	verb.stative	rule
892	noun.object	remain
893	noun.person	chinaman
894	noun.location	cyclopean
895	noun.substance	stone
896	noun.object	Pacific
897	noun.time	epoch
898	verb.body	revive
899	noun.location	position
902	noun.substance	matter
903	verb.motion	plunge
905	verb.change	preserve
906	noun.communication	spell
908	noun.event	resurrection
912	verb.motion	rollby
913	verb.communication	transmit
914	noun.artifact	tomb
915	noun.event	infinity
917	verb.communication	speakto
918	verb.creation	mould
919	noun.animal	mammal
923	noun.person	GreatOnes
926	verb.contact	bringin
927	noun.plant	aera
931	verb.change	revive
932	noun.person	subject
933	verb.change	resume
934	noun.act	rule
935	noun.group	OldOnes
936	noun.cognition	law
937	noun.motive	moral
938	verb.body	revel
939	noun.feeling	joy
940	noun.person	OldOnes
941	verb.communication	shout
942	verb.consumption	revel
944	verb.change	flame
945	noun.act	holocaust
946	noun.state	ecstasy
948	verb.communication	shadow
949	noun.communication	prophecy
950	noun.event	return
952	noun.location	cityr’lyeh
954	noun.artifact	sepulchre
955	verb.motion	sink
956	verb.contact	cutoff
957	noun.phenomenon	spectralintercourse
960	noun.person	spirit
962	verb.change	pickup
963	noun.object	cavern
964	noun.location	bottom
966	noun.communication	persuasion
967	verb.emotion	elicit
968	verb.communication	decline
969	noun.object	desert
970	noun.location	Arabia
971	noun.communication	Irem
972	noun.location	Cityofpillar
974	noun.person	witch
976	noun.cognition	meaning
977	noun.communication	Necronomicon
978	noun.location	arabAbdulAlhazred
979	noun.person	initiate
980	verb.social	choose
981	verb.communication	discuss
982	noun.communication	couplet
985	noun.state	affiliation
987	noun.group	authority
988	noun.group	TulaneUniversity
989	verb.contact	shed
990	noun.cognition	light
993	noun.communication	Greenlandtale
996	noun.event	meeting
998	verb.cognition	corroborate
1001	verb.stative	occur
1002	noun.communication	publication
1003	noun.attribute	caution
1006	verb.possession	lend
1008	verb.change	remain
1009	noun.act	possession
1010	verb.perception	view
1015	verb.change	arise
1017	verb.cognition	dream
1020	noun.communication	tablet
1021	verb.communication	utter
1023	noun.person	diabolist
1024	noun.person	mongrellouisianan
1029	verb.change	heighten
1033	verb.possession	collect
1037	noun.attribute	extravagance
1038	verb.communication	lead
1039	verb.possession	adopt
1047	noun.communication	rebuke
1048	verb.social	impose
1051	noun.location	ThomasStreet
1052	noun.artifact	imitation
1053	noun.artifact	architecture
1054	verb.perception	flaunt
1055	noun.artifact	steeple
1056	noun.communication	specimen
1057	verb.stative	scatterabout
1059	noun.person	decadent
1060	verb.change	crystallise
1061	verb.perception	mirror
1062	noun.feeling	nightmare
1063	noun.cognition	phantasy
1064	noun.person	ArthurMachen
1065	verb.creation	evoke
1066	noun.communication	prose
1067	noun.person	ClarkAshtonSmith
1068	noun.artifact	paint
1071	verb.perception	probe
1072	verb.change	enlarge
1073	verb.creation	draw
1074	noun.attribute	sincerity
1075	verb.cognition	mistake
1076	verb.cognition	influence
1078	noun.shape	contour
1080	verb.emotion	rave
1083	noun.communication	catechism
1084	verb.communication	letfall
1085	verb.social	strove
1086	noun.attribute	vividness
1087	noun.body	greenstone
1088	noun.cognition	geometry
1089	noun.communication	call
1093	noun.cognition	vigil
1095	noun.cognition	belief
1097	noun.communication	read
1098	noun.act	virtue
1099	noun.attribute	impressiveness
1101	verb.cognition	behold
1105	noun.attribute	honesty
1106	noun.act	leave
1107	noun.event	success
1108	verb.communication	promise
1109	verb.emotion	fascinate
1111	noun.state	fame
1112	noun.cognition	research
1113	noun.phenomenon	connexion
1119	verb.stative	survive
1121	noun.communication	confirmation
1124	noun.act	discovery
1125	noun.person	anthropologist
1126	noun.cognition	attitude
1127	noun.state	materialism
1128	verb.cognition	discount
1129	noun.attribute	perversity
1130	noun.event	coincidence
1131	noun.communication	dreamnote
1135	verb.emotion	fear
1139	noun.act	push
1141	noun.attribute	mixedblood
1142	noun.act	pursuit
1145	noun.communication	belief
1147	noun.location	Norway
1149	verb.perception	encounter
1151	noun.cognition	ear
1154	noun.person	iii
1155	noun.location	sea
1156	noun.location	heaven
1157	verb.cognition	wish
1158	verb.communication	grant
1159	noun.state	boon
1160	noun.event	efface
1161	verb.communication	stumble
1162	noun.act	round
1163	noun.communication	journal
